10;;;;;
FIO;Date of Birth;Registration_Number_Auto;Passport_Number;Phone_Number;Gibdd_Number
I. I. Ivanov;15.03.1985;A123BC777;77AA123456;79161234567;101
P. P. Petrov;22.07.1992;B456EK66;66BB789012;79161234568;102
A. S. Sidorova;03.11.1988;C789MP55;55CC345678;79161234569;103
D. A. Kuznetsov;19.09.1995;T234UN44;44TT901234;79161234570;104
E. V. Vasilyeva;27.05.2000;A567OR33;33AA567890;79161234571;105
A. M. Sokolov;08.12.1983;E890RX22;22EE234567;79161234572;106
O. V. Mikhaylova;14.04.1991;C123ME11;11CC678901;79161234573;107
P. A. Novikov;30.08.1998;X456RT99;99XX345678;79161234574;108
I. N. Fedorova;17.01.1986;P789AM88;88RR789012;79161234575;109
S. D. Morozov;25.10.1994;U234VH77;77UU456789;79161234576;110
